CommitId;RefactoringType;RefactoringDetail
bb48ff9a5440f4062abdbd2296a377b6c4e057f0;Rename Method;Rename Method	public nonPublicSuiteClassWithBeforeClassFailsWithoutRunningTests() : void renamed to public nonPublicSuiteClassWithBeforeClassPasses() : void in class org.junit.tests.running.classes.SuiteTest
1bf8438b65858565dbb64736bfe13aae9cfc1b5a;Extract Method;Extract Method	protected invokeMethod(method FrameworkMethod) : void extracted from public evaluate() : void in class org.junit.internal.runners.statements.RunAfters
1bf8438b65858565dbb64736bfe13aae9cfc1b5a;Extract Method;Extract Method	protected invokeMethod(method FrameworkMethod) : void extracted from public evaluate() : void in class org.junit.internal.runners.statements.RunBefores
39b8a92d24e6c81e4fc614cdf13003ce17bbc166;Rename Method;Rename Method	public fieldsOnSubclassesShadowSuperclasses() : void renamed to public fieldsOnSubclassesDoNotShadowSuperclasses() : void in class org.junit.runners.model.TestClassTest
f15ee64ef898f26775b90e4baf19251a76e5b1e0;Rename Method;Rename Method	public newFileWithGivenFilenameThrowsIllegalArgumentExceptionIfFileExists() : void renamed to public newFileWithGivenFilenameThrowsIOExceptionIfFileExists() : void in class org.junit.rules.TemporaryFolderUsageTest
f15ee64ef898f26775b90e4baf19251a76e5b1e0;Rename Method;Rename Method	public newFolderWithGivenFolderThrowsIllegalArgumentExceptionIfFolderExists() : void renamed to public newFolderWithGivenFolderThrowsIOExceptionIfFolderExists() : void in class org.junit.rules.TemporaryFolderUsageTest
f15ee64ef898f26775b90e4baf19251a76e5b1e0;Rename Method;Rename Method	public newFolderWithGivenFolderThrowsIllegalArgumentExceptionIfFileExists() : void renamed to public newFolderWithGivenFolderThrowsIOExceptionIfFileExists() : void in class org.junit.rules.TemporaryFolderUsageTest
f15ee64ef898f26775b90e4baf19251a76e5b1e0;Rename Method;Rename Method	public newFolderWithGivenPathThrowsIllegalArgumentExceptionIfFolderExists() : void renamed to public newFolderWithGivenPathThrowsIOExceptionIfFolderExists() : void in class org.junit.rules.TemporaryFolderUsageTest
852762b48959776ba0c6da72bac8b403005d6fb4;Rename Method;Rename Method	public newFolderWithGivenPathThrowsIllegalArgumentExceptionIfPathExists() : void renamed to public newFolderWithGivenPathThrowsIllegalArgumentExceptionIfFolderExists() : void in class org.junit.rules.TemporaryFolderUsageTest
d112596c41d217ed6136ce694e5b42ce0ba6f6cd;Rename Method;Rename Method	public testCountWithExplicitFilter() : void renamed to public testCountWithExplicitIncludeFilter() : void in class org.junit.experimental.categories.CategoryTest
c85c6147ada5ad1afdd3be10769670d309730132;Rename Method;Rename Method	public newFolderWithGivenFolderThrowsIOExceptionIfFolderNameConsistsOfMultiplePathComponents() : void renamed to public newFolderWithPathStartingWithFileSeparatorThrowsIOException() : void in class org.junit.rules.TemporaryFolderUsageTest
394e199f05f4bcce793f814735f20b7f78da568d;Rename Method;Rename Method	public assumeNotNullSingleNullThrowsException() : void renamed to public assumeNotNullThrowsExceptionForNullArray() : void in class org.junit.tests.experimental.AssumptionTest
7f2569fb5d16fdc35e632cf41dc10050655295b2;Extract And Move Method;Extract And Move Method	public getStacktrace(exception Throwable) : String extracted from public trace() : String in class junit.framework.TestFailure & moved to class org.junit.internal.Throwables
7f2569fb5d16fdc35e632cf41dc10050655295b2;Extract And Move Method;Extract And Move Method	public getStacktrace(exception Throwable) : String extracted from public getFilteredTrace(e Throwable) : String in class junit.runner.BaseTestRunner & moved to class org.junit.internal.Throwables
7f2569fb5d16fdc35e632cf41dc10050655295b2;Extract And Move Method;Extract And Move Method	public getStacktrace(exception Throwable) : String extracted from public getTrace() : String in class org.junit.runner.notification.Failure & moved to class org.junit.internal.Throwables
a688f6cecfe303b02087747226e5c376aebb0c44;Inline Method;Inline Method	private assertArraysAreSameLength(expecteds Object, actuals Object, header String) : int inlined to private arrayEquals(message String, expecteds Object, actuals Object, outer boolean) : void in class org.junit.internal.ComparisonCriteria
b8b21a2ad3b4a17b1a41478d2227f18be61b28bc;Move Class;Move Class	org.junit.Assert.ThrowingRunnable moved to org.junit.function.ThrowingRunnable
54d6e949e952100a3aea5d2bfb18ef26d39e28e8;Rename Method;Rename Method	public assertEmptyThrowsMutipleFailureExceptionForManyThrowables() : void renamed to public assertEmptyThrowsMultipleFailureExceptionForManyThrowables() : void in class org.junit.tests.assertion.MultipleFailureExceptionTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.categories.CategoriesAndParameterizedTest moved to org.junit.experimental.categories.CategoriesAndParameterizedTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.categories.CategoryTest moved to org.junit.experimental.categories.CategoryTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.categories.CategoryValidatorTest moved to org.junit.experimental.categories.CategoryValidatorTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.categories.JavadocTest moved to org.junit.experimental.categories.JavadocTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.experimental.categories.MultiCategoryTest moved to org.junit.experimental.categories.MultiCategoryTest
65a98b47a95ff6173c5190d0afff07c7265fe277;Move Class;Move Class	org.junit.tests.internal.runners.ErrorReportingRunnerTest moved to org.junit.internal.runners.ErrorReportingRunnerTest
